well,ingredient1,concentration1,unit1,ingredient2,...
E10,GFP Plasmid,4.17352790869343,concentration,ATc,60.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.15,fraction
E11,GFP Plasmid,4.17352790869343,concentration,ATc,80.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.13,fraction
E2,GFP Plasmid,4.17352790869343,concentration,ATc,20.0,concentration,txtl_mm,0.75,fraction,water,0.2,fraction
E3,GFP Plasmid,4.17352790869343,concentration,ATc,40.0,concentration,txtl_mm,0.75,fraction,water,0.18,fraction
E4,GFP Plasmid,4.17352790869343,concentration,ATc,60.0,concentration,txtl_mm,0.75,fraction,water,0.16,fraction
E5,GFP Plasmid,4.17352790869343,concentration,ATc,80.0,concentration,txtl_mm,0.75,fraction,water,0.14,fraction
E7,GFP Plasmid,4.17352790869343,concentration,ATc,0.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.21,fraction
E8,GFP Plasmid,4.17352790869343,concentration,ATc,20.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.19,fraction
E9,GFP Plasmid,4.17352790869343,concentration,ATc,40.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.17,fraction
F1,GFP Plasmid,4.869115893475668,concentration,ATc,0.0,concentration,txtl_mm,0.75,fraction,water,0.215,fraction
F10,GFP Plasmid,4.869115893475668,concentration,ATc,60.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.145,fraction
F11,GFP Plasmid,4.869115893475668,concentration,ATc,80.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.125,fraction
F2,GFP Plasmid,4.869115893475668,concentration,ATc,20.0,concentration,txtl_mm,0.75,fraction,water,0.195,fraction
F3,GFP Plasmid,4.869115893475668,concentration,ATc,40.0,concentration,txtl_mm,0.75,fraction,water,0.175,fraction
F4,GFP Plasmid,4.869115893475668,concentration,ATc,60.0,concentration,txtl_mm,0.75,fraction,water,0.155,fraction
F5,GFP Plasmid,4.869115893475668,concentration,ATc,80.0,concentration,txtl_mm,0.75,fraction,water,0.135,fraction
F7,GFP Plasmid,4.869115893475668,concentration,ATc,0.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.205,fraction
F8,GFP Plasmid,4.869115893475668,concentration,ATc,20.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.185,fraction
F9,GFP Plasmid,4.869115893475668,concentration,ATc,40.0,concentration,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.165,fraction
G1,IPTG,0.0,concentration,txtl_mm,0.75,fraction,water,0.25,fraction
G7,IPTG,5.0,concentration,txtl_mm,0.75,fraction,water,0.24,fraction
