Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,A5,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,B1,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,B2,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,B3,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,B4,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,B5,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,C1,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,C2,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,C3,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,C4,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,C5,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,D1,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,D2,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,D3,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,D4,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,D5,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,E1,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,E2,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,E3,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,E4,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A07,K-Glut,Nunc_384_black_glassbottom,E5,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,A1,1300,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,A2,1275,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,A3,1225,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,A4,1200,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,A5,1175,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,B1,1200,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,B2,1175,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,B3,1125,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,B4,1100,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,B5,1075,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,C1,1100,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,C2,1075,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,C3,1025,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,C4,1000,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,C5,975,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,D1,1000,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,D2,975,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,D3,925,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,D4,900,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,D5,875,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,E1,900,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,E2,875,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,E3,825,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,E4,800,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,E5,775,
Source[1],384PP_AQ_BP,A09,water,Nunc_384_black_glassbottom,F1,1550,
