Source Plate,Source Plate Type,Source Well,Sample ID,Destination Plate Name,Destination Well,Transfer Volume,Sample Comment
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,A11,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,B7,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,B8,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,B9,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,B10,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,B11,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,C7,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,C8,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,C9,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,C10,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,C11,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,D7,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,D8,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,D9,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,D10,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,D11,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,E7,100,Actual concentration: 60.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,E8,125,Actual concentration: 75.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,E9,175,Actual concentration: 105.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,E10,200,Actual concentration: 120.00 nM
Source[1],384PP_AQ_BP,A17,K-Glut,Nunc_384_black_glassbottom,E11,225,Actual concentration: 135.00 nM
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,A7,1300,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,A8,1275,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,A9,1225,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,A10,1200,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,A11,1175,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,B7,1200,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,B8,1175,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,B9,1125,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,B10,1100,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,B11,1075,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,C7,1100,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,C8,1075,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,C9,1025,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,C10,1000,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,C11,975,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,D7,1000,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,D8,975,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,D9,925,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,D10,900,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,D11,875,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,E7,900,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,E8,875,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,E9,825,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,E10,800,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,E11,775,
Source[1],384PP_AQ_BP,A19,water,Nunc_384_black_glassbottom,F7,1550,
